# Extracted from http://www.earthbyte.org/Resources/ICONS/ch4.html#x1-960004.3.4
# latitude longitude sediment_thickness(meters)
-39.85000 293.20000 nan
-39.85000 293.25000 nan
-39.85000 293.30000 nan
-39.85000 293.35000 nan
-39.85000 293.40000 nan
-39.85000 293.45000 nan
-39.85000 293.50000 nan
-39.85000 293.55000 nan
-39.85000 293.60000 nan
-39.85000 293.65000 nan
-39.80000 289.15000 nan
-39.80000 289.20000 nan
-39.80000 289.25000 nan
-39.80000 289.30000 nan
-39.80000 289.35000 33.29778
-39.80000 289.40000 826.84898
-39.80000 289.45000 1017.98046
-39.80000 289.50000 1137.24017
-39.80000 289.55000 1219.07854
-39.80000 289.60000 1290.19570
-39.80000 289.65000 1350.64530
-39.80000 289.70000 1395.61343
-39.80000 289.75000 1428.14088
-39.80000 289.80000 1466.63845
-39.80000 289.85000 1512.99095
-39.80000 289.90000 1534.52635
-39.80000 289.95000 1531.63397
-39.80000 290.00000 1503.53289
-39.80000 290.05000 1532.73225
-39.80000 290.10000 1541.07785
-39.80000 290.15000 1519.10830
-39.80000 290.20000 1470.62397
-39.80000 290.25000 1421.66781
-39.80000 290.30000 1370.74304
-39.80000 290.35000 1328.52054
-39.80000 290.40000 1278.33641
-39.80000 290.45000 1242.73157
-39.80000 290.50000 1201.43032
-39.80000 290.55000 1080.39284
-39.80000 290.60000 944.03350
-39.80000 290.65000 819.44871
-39.80000 290.70000 702.71575
-39.80000 290.75000 324.23687
-39.80000 290.80000 nan
-39.80000 290.85000 nan
-39.80000 290.90000 nan
-39.80000 290.95000 nan
-39.80000 291.00000 nan
-39.80000 291.05000 nan
-39.80000 291.10000 nan
-39.80000 291.15000 nan
-39.80000 291.20000 nan
-39.80000 291.25000 nan
-39.80000 291.30000 nan
-39.80000 291.35000 nan
-39.80000 291.40000 nan
-39.80000 291.45000 nan
-39.80000 291.50000 nan
-39.80000 291.55000 nan
-39.80000 291.60000 nan
-39.80000 291.65000 nan
-39.80000 291.70000 nan
-39.80000 291.75000 nan
-39.80000 291.80000 nan
-39.80000 291.85000 nan
-39.80000 291.90000 nan
-39.80000 291.95000 nan
-39.80000 292.00000 nan
-39.80000 292.05000 nan
-39.80000 292.10000 nan
-39.80000 292.15000 nan
-39.80000 292.20000 nan
-39.80000 292.25000 nan
-39.80000 292.30000 nan
-39.80000 292.35000 nan
-39.80000 292.40000 nan
-39.80000 292.45000 nan
-39.80000 292.50000 nan
-39.80000 292.55000 nan
-39.80000 292.60000 nan
-39.80000 292.65000 nan
-39.80000 292.70000 nan
-39.80000 292.75000 nan
-39.80000 292.80000 nan
-39.80000 292.85000 nan
-39.80000 292.90000 nan
-39.80000 292.95000 nan
-39.80000 293.00000 nan
-39.80000 293.05000 nan
-39.80000 293.10000 nan
-39.80000 293.15000 nan
-39.80000 293.20000 nan
-39.80000 293.25000 nan
-39.80000 293.30000 nan
-39.80000 293.35000 nan
-39.80000 293.40000 nan
-39.80000 293.45000 nan
-39.80000 293.50000 nan
-39.80000 293.55000 nan
-39.80000 293.60000 nan
-39.80000 293.65000 nan
-39.75000 289.15000 nan
-39.75000 289.20000 nan
-39.75000 289.25000 nan
-39.75000 289.30000 nan
-39.75000 289.35000 222.74590
-39.75000 289.40000 835.93369
-39.75000 289.45000 1080.91605
-39.75000 289.50000 1193.91751
-39.75000 289.55000 1268.44561
-39.75000 289.60000 1335.16383
-39.75000 289.65000 1396.20280
-39.75000 289.70000 1442.42454
-39.75000 289.75000 1468.12558
-39.75000 289.80000 1520.34009
-39.75000 289.85000 1604.70760
-39.75000 289.90000 1675.01688
-39.75000 289.95000 1714.97166
-39.75000 290.00000 1715.62278
-39.75000 290.05000 1727.45109
-39.75000 290.10000 1727.24342
